agent_id,agent_name,team,department,hire_date
AGT001,Agent 1,Account Mgmt,ACCOUNT,2022-04-15
AGT002,Agent 2,Billing Team,BILLING,2022-03-07
AGT003,Agent 3,Returns Team,RETURNS,2020-12-04
AGT004,Agent 4,Billing Team,BILLING,2021-12-06
AGT005,Agent 5,Logistics,SHIPPING,2020-07-30
AGT006,Agent 6,Tech Support,TECHNICAL,2021-01-26
AGT007,Agent 7,Tech Support,TECHNICAL,2020-12-21
AGT008,Agent 8,Billing Team,BILLING,2022-09-17
AGT009,Agent 9,Account Mgmt,ACCOUNT,2022-10-02
AGT010,Agent 10,Tech Support,TECHNICAL,2022-11-19
AGT011,Agent 11,Tech Support,TECHNICAL,2021-08-10
AGT012,Agent 12,Account Mgmt,ACCOUNT,2022-05-24
AGT013,Agent 13,Account Mgmt,ACCOUNT,2022-08-17
AGT014,Agent 14,Returns Team,RETURNS,2022-05-03
AGT015,Agent 15,Logistics,SHIPPING,2020-10-14
AGT016,Agent 16,Logistics,SHIPPING,2021-06-24
AGT017,Agent 17,Returns Team,RETURNS,2020-10-15
AGT018,Agent 18,Returns Team,RETURNS,2020-12-07
AGT019,Agent 19,Account Mgmt,ACCOUNT,2021-01-30
AGT020,Agent 20,Tech Support,TECHNICAL,2020-07-17
AGT021,Agent 21,Logistics,SHIPPING,2022-08-16
AGT022,Agent 22,Tech Support,TECHNICAL,2022-04-22
AGT023,Agent 23,Returns Team,RETURNS,2021-11-03
AGT024,Agent 24,Account Mgmt,ACCOUNT,2020-06-27
AGT025,Agent 25,Logistics,SHIPPING,2021-06-25
AGT026,Agent 26,Tech Support,TECHNICAL,2020-09-25
AGT027,Agent 27,Account Mgmt,ACCOUNT,2022-05-24
AGT028,Agent 28,Billing Team,BILLING,2022-02-21
AGT029,Agent 29,Account Mgmt,ACCOUNT,2022-06-17
AGT030,Agent 30,Returns Team,RETURNS,2020-06-25
