ticket_id,status,updated_at,source
TKT0848,resolved,2024-02-25 10:00:00,crm
TKT0486,pending,2024-07-26 10:00:00,crm
TKT0513,resolved,2024-09-30 02:00:00,crm
TKT0361,open,2024-05-03 17:00:00,crm
TKT0366,pending,2024-11-08 05:00:00,crm
TKT0634,resolved,2024-04-13 13:00:00,crm
TKT0922,resolved,2024-02-16 14:00:00,crm
TKT0573,open,2023-05-18 02:00:00,crm
TKT0874,resolved,2024-11-29 14:00:00,crm
TKT0142,open,2024-11-03 01:00:00,crm
TKT0821,resolved,2023-04-11 06:00:00,crm
TKT0069,open,2024-03-12 04:00:00,crm
TKT0450,pending,2023-04-06 15:00:00,crm
TKT0438,resolved,2024-11-27 14:00:00,crm
TKT0641,resolved,2024-02-17 00:00:00,crm
TKT0386,resolved,2024-02-07 09:00:00,crm
TKT0895,resolved,2023-09-04 15:00:00,crm
TKT0073,open,2023-07-08 06:00:00,crm
TKT0583,resolved,2024-05-11 10:00:00,crm
TKT0081,open,2024-11-19 09:00:00,crm
TKT0131,resolved,2023-03-21 11:00:00,crm
TKT0802,open,2023-12-30 16:00:00,crm
TKT0530,open,2024-12-07 20:00:00,crm
TKT0306,resolved,2023-12-31 17:00:00,crm
TKT0104,resolved,2024-06-27 20:00:00,crm
TKT0121,resolved,2024-08-23 20:00:00,crm
TKT0511,resolved,2023-04-27 00:00:00,crm
TKT0237,open,2024-12-07 01:00:00,crm
TKT0053,resolved,2023-07-31 15:00:00,crm
TKT0616,resolved,2024-08-22 20:00:00,crm
TKT0554,pending,2023-02-15 23:00:00,crm
TKT0339,resolved,2024-08-03 21:00:00,crm
TKT0024,open,2023-06-20 18:00:00,crm
TKT0230,open,2023-01-13 02:00:00,crm
TKT0842,resolved,2024-01-02 06:00:00,crm
TKT0964,open,2023-05-17 06:00:00,crm
TKT0297,pending,2024-04-21 11:00:00,crm
TKT0945,pending,2023-08-04 18:00:00,crm
TKT0849,open,2024-09-06 12:00:00,crm
TKT0258,resolved,2024-10-06 09:00:00,crm
TKT0400,resolved,2023-03-17 02:00:00,crm
TKT0721,open,2023-11-30 00:00:00,crm
TKT0367,pending,2024-04-30 23:00:00,crm
TKT0070,open,2023-11-20 07:00:00,crm
TKT0894,open,2023-02-23 04:00:00,crm
TKT0893,resolved,2024-11-25 07:00:00,crm
