ticket_id,escalated_at,reason
TKT0877,2023-04-24 00:00:00,Customer request
TKT0481,2024-09-02 00:00:00,SLA breach
TKT0974,2023-04-20 00:00:00,SLA breach
TKT0128,2023-10-17 00:00:00,Customer request
TKT0360,2023-07-04 00:00:00,SLA breach
TKT0991,2023-03-21 00:00:00,Customer request
TKT0813,2024-01-06 00:00:00,SLA breach
TKT0936,2024-02-05 00:00:00,SLA breach
TKT0476,2024-05-17 00:00:00,SLA breach
TKT0423,2024-02-28 00:00:00,SLA breach
TKT0930,2024-05-13 00:00:00,Complex issue
TKT0841,2023-03-20 00:00:00,SLA breach
TKT0661,2024-12-04 00:00:00,Customer request
TKT0721,2024-01-20 00:00:00,Customer request
TKT0804,2024-10-10 00:00:00,Customer request
TKT0759,2023-06-14 00:00:00,SLA breach
TKT0406,2023-11-02 00:00:00,SLA breach
TKT0008,2023-07-02 00:00:00,Complex issue
TKT0963,2024-08-03 00:00:00,Complex issue
TKT0384,2024-09-13 00:00:00,SLA breach
TKT0801,2023-05-01 00:00:00,Customer request
TKT0230,2023-12-22 00:00:00,Customer request
TKT0520,2024-09-20 00:00:00,Complex issue
TKT0291,2024-07-13 00:00:00,SLA breach
TKT0275,2023-06-12 00:00:00,Complex issue
TKT0901,2023-09-18 00:00:00,SLA breach
TKT0675,2023-07-17 00:00:00,Complex issue
TKT0271,2023-01-31 00:00:00,Complex issue
TKT0315,2023-01-24 00:00:00,Complex issue
TKT0859,2024-06-08 00:00:00,SLA breach
TKT0925,2023-08-10 00:00:00,Customer request
TKT0815,2023-04-28 00:00:00,SLA breach
TKT0932,2023-01-31 00:00:00,Customer request
TKT0425,2023-05-22 00:00:00,SLA breach
TKT0690,2023-03-27 00:00:00,Complex issue
TKT0248,2024-12-09 00:00:00,SLA breach
TKT0005,2023-10-02 00:00:00,Customer request
TKT0922,2024-05-08 00:00:00,SLA breach
TKT0931,2023-04-05 00:00:00,Customer request
TKT0967,2024-12-26 00:00:00,Complex issue
TKT0034,2024-10-29 00:00:00,Customer request
TKT0016,2024-04-23 00:00:00,Complex issue
TKT0027,2024-05-22 00:00:00,Customer request
TKT0158,2024-06-08 00:00:00,Customer request
TKT0810,2023-07-17 00:00:00,Customer request
TKT0981,2023-06-27 00:00:00,SLA breach
TKT0861,2024-12-04 00:00:00,Complex issue
TKT0837,2023-10-15 00:00:00,Customer request
TKT0532,2023-04-16 00:00:00,Complex issue
TKT0840,2024-08-24 00:00:00,Customer request
TKT0760,2023-06-19 00:00:00,SLA breach
TKT0615,2024-05-14 00:00:00,Customer request
TKT0326,2024-04-01 00:00:00,Customer request
TKT0344,2024-09-02 00:00:00,Complex issue
TKT0175,2023-10-06 00:00:00,Customer request
TKT0586,2024-09-29 00:00:00,SLA breach
TKT0441,2024-09-13 00:00:00,Customer request
TKT0965,2024-03-15 00:00:00,SLA breach
TKT0570,2024-08-03 00:00:00,Customer request
TKT0401,2024-01-18 00:00:00,Complex issue
TKT0198,2023-03-07 00:00:00,Customer request
TKT0632,2023-06-21 00:00:00,SLA breach
TKT0660,2024-06-07 00:00:00,Customer request
TKT0403,2024-08-23 00:00:00,Customer request
TKT0849,2023-10-28 00:00:00,Complex issue
TKT0053,2024-10-22 00:00:00,Complex issue
TKT0821,2023-12-27 00:00:00,Customer request
TKT0592,2023-01-31 00:00:00,SLA breach
TKT0440,2023-07-04 00:00:00,Customer request
TKT0132,2024-03-15 00:00:00,SLA breach
TKT0652,2024-01-02 00:00:00,SLA breach
TKT0400,2023-03-16 00:00:00,SLA breach
TKT0746,2024-11-03 00:00:00,Customer request
TKT0178,2024-01-16 00:00:00,SLA breach
TKT0413,2023-11-18 00:00:00,SLA breach
TKT0948,2023-01-10 00:00:00,Customer request
TKT0530,2024-12-05 00:00:00,SLA breach
TKT0163,2023-12-03 00:00:00,SLA breach
TKT0448,2024-04-21 00:00:00,Complex issue
TKT0237,2023-11-26 00:00:00,SLA breach
TKT0102,2024-07-29 00:00:00,SLA breach
TKT0728,2024-01-30 00:00:00,Customer request
TKT0934,2024-09-08 00:00:00,SLA breach
TKT0130,2024-06-23 00:00:00,SLA breach
TKT0517,2023-04-16 00:00:00,Complex issue
TKT0122,2023-10-12 00:00:00,Complex issue
TKT0647,2024-09-14 00:00:00,Complex issue
TKT0591,2023-03-18 00:00:00,Complex issue
TKT0986,2024-10-23 00:00:00,Customer request
TKT0402,2024-11-29 00:00:00,Customer request
TKT0864,2023-11-22 00:00:00,Customer request
TKT0781,2023-07-22 00:00:00,SLA breach
TKT0643,2023-02-20 00:00:00,Customer request
TKT0267,2024-05-25 00:00:00,SLA breach
TKT0858,2023-10-09 00:00:00,Customer request
TKT0567,2023-05-03 00:00:00,SLA breach
TKT0923,2024-04-08 00:00:00,SLA breach
TKT0331,2024-09-07 00:00:00,Customer request
TKT0209,2024-08-28 00:00:00,Customer request
TKT0096,2023-08-31 00:00:00,Complex issue
TKT0975,2023-01-22 00:00:00,Customer request
TKT0958,2023-01-19 00:00:00,Complex issue
TKT0982,2024-08-12 00:00:00,SLA breach
TKT0012,2024-04-17 00:00:00,Customer request
TKT0644,2023-05-15 00:00:00,Customer request
TKT0789,2023-02-07 00:00:00,Complex issue
TKT0608,2024-06-24 00:00:00,SLA breach
TKT0157,2023-12-12 00:00:00,Complex issue
TKT0029,2023-01-17 00:00:00,SLA breach
TKT0633,2024-04-26 00:00:00,SLA breach
TKT0725,2024-03-01 00:00:00,Complex issue
TKT0557,2023-11-05 00:00:00,Customer request
TKT0081,2023-11-21 00:00:00,Customer request
TKT0945,2024-02-14 00:00:00,SLA breach
TKT0392,2024-07-23 00:00:00,Customer request
TKT0026,2024-05-20 00:00:00,Complex issue
TKT0761,2023-02-18 00:00:00,Customer request
TKT0752,2023-11-02 00:00:00,Complex issue
TKT0134,2024-04-10 00:00:00,Customer request
TKT0465,2024-10-18 00:00:00,SLA breach
TKT0650,2024-01-18 00:00:00,Complex issue
