ticket_id,status,updated_at,source
TKT0247,pending,2024-09-10 00:00:00,helpdesk
TKT0017,open,2023-03-13 00:00:00,helpdesk
TKT0916,pending,2024-05-06 17:00:00,helpdesk
TKT0472,resolved,2024-07-01 09:00:00,helpdesk
TKT0192,resolved,2024-07-13 20:00:00,helpdesk
TKT0274,open,2023-12-02 23:00:00,helpdesk
TKT0030,pending,2023-03-17 23:00:00,helpdesk
TKT0488,resolved,2024-10-15 23:00:00,helpdesk
TKT0678,pending,2024-01-25 10:00:00,helpdesk
TKT0544,resolved,2023-05-02 05:00:00,helpdesk
TKT0464,open,2023-03-15 03:00:00,helpdesk
TKT0361,pending,2024-05-03 21:00:00,helpdesk
TKT0272,pending,2023-09-13 10:00:00,helpdesk
TKT0122,pending,2023-12-27 05:00:00,helpdesk
TKT0950,resolved,2023-01-22 17:00:00,helpdesk
TKT0564,pending,2023-09-03 01:00:00,helpdesk
TKT0087,resolved,2023-04-27 16:00:00,helpdesk
TKT0363,open,2023-06-21 10:00:00,helpdesk
TKT0442,pending,2024-12-29 22:00:00,helpdesk
TKT0218,resolved,2024-07-23 18:00:00,helpdesk
TKT0155,pending,2023-03-11 21:00:00,helpdesk
TKT0407,pending,2024-08-11 16:00:00,helpdesk
TKT0515,pending,2024-11-10 00:00:00,helpdesk
TKT0982,resolved,2024-03-29 04:00:00,helpdesk
TKT0521,resolved,2024-03-16 06:00:00,helpdesk
TKT0342,resolved,2023-11-15 09:00:00,helpdesk
TKT0055,resolved,2024-03-22 16:00:00,helpdesk
TKT0452,open,2023-09-14 00:00:00,helpdesk
TKT0280,pending,2024-12-13 12:00:00,helpdesk
TKT0379,open,2023-01-13 04:00:00,helpdesk
TKT0101,resolved,2024-08-02 22:00:00,helpdesk
TKT0051,resolved,2023-10-09 20:00:00,helpdesk
TKT0665,pending,2024-12-22 10:00:00,helpdesk
TKT0392,open,2024-08-19 23:00:00,helpdesk
TKT0750,open,2023-08-22 10:00:00,helpdesk
TKT0951,resolved,2024-10-22 21:00:00,helpdesk
TKT0433,pending,2024-06-29 01:00:00,helpdesk
TKT0199,open,2024-07-02 01:00:00,helpdesk
TKT0302,pending,2024-03-22 02:00:00,helpdesk
TKT0194,open,2024-08-11 01:00:00,helpdesk
TKT0413,resolved,2024-11-19 04:00:00,helpdesk
TKT0181,open,2024-05-25 21:00:00,helpdesk
TKT0609,open,2024-12-09 05:00:00,helpdesk
TKT0283,resolved,2023-08-11 08:00:00,helpdesk
TKT0543,open,2024-06-17 06:00:00,helpdesk
TKT0623,resolved,2024-01-03 16:00:00,helpdesk
TKT0506,open,2023-10-24 17:00:00,helpdesk
TKT0532,resolved,2023-11-29 08:00:00,helpdesk
TKT0444,resolved,2023-06-11 05:00:00,helpdesk
TKT0112,pending,2023-09-07 11:00:00,helpdesk
TKT0698,pending,2023-11-05 08:00:00,helpdesk
TKT0052,pending,2023-08-25 15:00:00,helpdesk
TKT0662,pending,2023-04-12 22:00:00,helpdesk
TKT0255,resolved,2023-04-30 02:00:00,helpdesk
TKT0114,resolved,2023-05-15 09:00:00,helpdesk
TKT0225,open,2024-02-28 06:00:00,helpdesk
TKT0118,resolved,2024-01-26 21:00:00,helpdesk
TKT0974,resolved,2023-09-04 18:00:00,helpdesk
TKT0917,pending,2023-01-09 06:00:00,helpdesk
TKT0037,pending,2023-08-31 08:00:00,helpdesk
TKT0590,resolved,2024-12-02 21:00:00,helpdesk
TKT0273,open,2024-01-20 17:00:00,helpdesk
TKT0245,pending,2023-09-11 07:00:00,helpdesk
TKT0068,pending,2024-04-03 06:00:00,helpdesk
