ticket_id,customer_id,agent_id,region,department,priority,status,created_at,first_response_at,resolved_at,source
TKT0001,CUST0115,AGT005,northeast,BILLING,low,pending,2024-10-16 03:00:00,2024-10-16 03:16:00,2024-10-20 03:00:00,helpdesk
TKT0002,CUST0014,AGT018,SOUTHEAST,SHIPPING,urgent,open,2023-02-02 00:00:00,2023-02-02 00:33:00,2023-02-03 05:00:00,helpdesk
TKT0003,CUST0175,AGT009,SOUTHEAST,TECHNICAL,high,open,2024-08-26 08:00:00,2024-08-26 08:11:00,2024-08-27 06:00:00,crm
TKT0004,CUST0023,AGT024,WEST,SHIPPING,low,resolved,2024-01-25 03:00:00,2024-01-25 04:41:00,2024-01-27 01:00:00,crm
TKT0005,CUST0186,AGT019,SOUTHEAST,BILLING,low,pending,2024-07-19 09:00:00,2024-07-19 11:50:00,2024-07-22 18:00:00,crm
TKT0006,CUST0233,AGT021,southeast,RETURNS,medium,resolved,2023-10-24 02:00:00,2023-10-24 03:09:00,2023-10-24 16:00:00,helpdesk
TKT0007,CUST0037,AGT020,northeast,TECHNICAL,medium,open,2023-08-03 21:00:00,2023-08-03 22:18:00,2023-08-07 16:00:00,helpdesk
TKT0008,CUST0167,AGT027,southeast,BILLING,medium,open,2024-01-24 08:00:00,2024-01-24 10:53:00,2024-01-28 02:00:00,helpdesk
TKT0009,CUST0291,AGT029,northeast,RETURNS,medium,pending,2024-02-15 08:00:00,2024-02-15 08:26:00,2024-02-16 13:00:00,helpdesk
TKT0010,CUST0127,AGT024,SOUTHWEST,SHIPPING,high,pending,2024-02-10 20:00:00,2024-02-10 22:07:00,2024-02-11 16:00:00,helpdesk
TKT0011,CUST0071,AGT017,WEST,BILLING,low,open,2024-08-20 12:00:00,2024-08-20 13:42:00,2024-08-21 18:00:00,crm
TKT0012,CUST0196,AGT020,WEST,SHIPPING,high,pending,2024-10-04 05:00:00,2024-10-04 06:58:00,,crm
TKT0013,CUST0137,AGT025,northeast,RETURNS,low,resolved,2024-11-27 23:00:00,2024-11-27 23:39:00,2024-12-01 16:00:00,helpdesk
TKT0014,CUST0135,AGT017,southeast,TECHNICAL,low,pending,2023-06-11 14:00:00,2023-06-11 14:10:00,2023-06-15 12:00:00,helpdesk
TKT0015,CUST0083,AGT018,southeast,SHIPPING,low,pending,2024-10-16 16:00:00,2024-10-16 18:45:00,2024-10-17 19:00:00,helpdesk
TKT0016,CUST0158,AGT008,NORTHEAST,TECHNICAL,low,open,2024-05-15 00:00:00,2024-05-15 00:38:00,2024-05-17 00:00:00,helpdesk
TKT0017,CUST0282,AGT006,MIDWEST,SHIPPING,urgent,open,2023-03-12 17:00:00,2023-03-12 17:42:00,2023-03-13 11:00:00,crm
TKT0018,CUST0225,AGT029,SOUTHWEST,ACCOUNT,low,open,2024-12-31 09:00:00,2024-12-31 10:52:00,2025-01-04 00:00:00,crm
TKT0019,CUST0113,AGT001,NORTHEAST,BILLING,medium,open,2023-03-07 10:00:00,2023-03-07 10:15:00,2023-03-10 15:00:00,crm
TKT0020,CUST0249,AGT007,SOUTHWEST,TECHNICAL,urgent,open,2023-12-05 02:00:00,2023-12-05 04:21:00,2023-12-06 10:00:00,helpdesk
TKT0021,CUST0182,AGT014,WEST,ACCOUNT,low,pending,2024-02-21 06:00:00,2024-02-21 06:34:00,2024-02-21 20:00:00,crm
